recipe_id,user_bmi,user_pantry_count,label_score
2008266,22.0,3,0.0
2050357,18.0,3,0.0
1023439,28.0,3,0.4
170771,28.0,3,0.0
839969,18.0,3,0.0
1244027,28.0,3,0.4
1429812,18.0,3,0.7
38065,28.0,3,0.0
1571477,28.0,3,0.6
1119562,18.0,3,0.6
1542973,18.0,3,0.4
196180,22.0,3,0.0
1104578,22.0,3,0.2
697066,22.0,3,0.0
896868,22.0,3,0.0
1580871,28.0,3,0.8
395394,22.0,3,0.0
1920383,22.0,3,0.7
1797262,22.0,3,0.0
416390,28.0,3,0.0
542267,22.0,3,0.0
1143950,18.0,3,0.0
1257155,18.0,3,0.0
380770,22.0,3,0.6
1981358,22.0,3,0.4
2083925,18.0,3,0.4
716154,18.0,3,0.0
1164056,28.0,3,0.7
1548392,22.0,3,0.0
540238,22.0,3,0.0
2187306,18.0,3,0.4
501486,28.0,3,0.4
1466659,22.0,3,0.6
858642,28.0,3,0.0
1512835,18.0,3,0.0
2116753,22.0,3,0.0
2037397,22.0,3,0.6
1564723,22.0,3,0.0
1891161,22.0,3,0.8
1155257,18.0,3,0.0
194772,18.0,3,0.0
1728045,18.0,3,0.0
382473,22.0,3,0.0
1106997,28.0,3,0.4
1218146,22.0,3,0.0
1347176,22.0,3,0.2
2184451,28.0,3,0.0
1310147,28.0,3,0.6
370120,28.0,3,0.4
16571,22.0,3,0.0
